time;accel
2.40;0.00
2.60;-1.30
3.20;-2.70
3.60;0.00
4.00;-2.70
6.20;-2.70
6.60;-2.70
6.80;-1.30
7.80;-2.70
8.20;-2.70
8.80;-1.30
8.80;-2.70
9.60;-2.70
10.00;-2.70
10.20;-5.40
10.60;-2.70
11.00;-5.40
11.40;0.00
13.20;-2.70
13.60;-2.70
13.80;0.00
14.60;-13.30
14.60;-5.40
14.60;-5.40
14.60;-9.30
14.60;-16.00
14.60;-22.80
14.80;-2.70
15.40;-22.80
15.40;-32.10
15.40;-53.50
15.40;-54.90
15.60;-40.20
15.60;-21.50
15.80;-21.50
15.80;-50.80
16.00;-42.90
16.00;-26.80
16.20;-21.50
16.20;-50.80
16.20;-61.70
16.40;-5.40
16.40;-80.40
16.60;-59.00
16.80;-71.00
16.80;-91.10
16.80;-77.70
17.60;-37.50
17.60;-85.60
17.60;-123.10
17.60;-101.90
17.80;-99.10
17.80;-104.40
18.60;-112.50
18.60;-50.80
19.20;-123.10
19.40;-85.60
19.40;-72.30
19.60;-127.20
20.20;-123.10
20.40;-117.90
21.20;-134.00
21.40;-101.90
21.80;-108.40
22.00;-123.10
23.20;-123.10
23.40;-128.50
24.00;-112.50
24.20;-95.10
24.20;-81.80
24.60;-53.50
25.00;-64.40
25.00;-57.60
25.40;-72.30
25.40;-44.30
25.60;-26.80
26.00;-5.40
26.20;-107.10
26.20;-21.50
26.40;-65.60
27.00;-16.00
27.20;-45.60
27.20;-24.20
27.20;9.50
27.60;4.00
28.20;12.00
28.40;-21.50
28.40;37.50
28.60;46.90
29.40;-17.40
30.20;36.20
31.00;75.00
31.20;8.10
32.00;54.90
32.00;48.20
32.80;46.90
33.40;16.00
33.80;45.60
34.40;1.30
34.80;75.00
35.20;-16.00
35.20;-54.90
35.40;69.60
35.60;34.80
35.60;32.10
36.20;-37.50
36.20;22.80
38.00;46.90
38.00;10.70
39.20;5.40
39.40;-1.30
40.00;-21.50
40.40;-13.30
41.60;30.80
41.60;-10.70
42.40;29.40
42.80;0.00
42.80;-10.70
43.00;14.70
44.00;-1.30
44.40;0.00
45.00;10.70
46.60;10.70
47.80;-26.80
47.80;-14.70
48.80;-13.30
50.60;0.00
52.00;10.70
53.20;-14.70
55.00;-2.70
55.00;10.70
55.40;-2.70
57.60;10.70
